Date	Health_Region	Cases
2020-03-28 11:01:50	Algoma	NA
2020-03-28 11:01:50	Brant	7
2020-03-28 11:01:50	Chatham-Kent	4
2020-03-28 11:01:50	Durham	67
2020-03-28 11:01:50	Eastern-Ontario	4
2020-03-28 11:01:50	Grey-Bruce	NA
2020-03-28 11:01:50	Haldimand-Norfolk	NA
2020-03-28 11:01:50	Halton	19
2020-03-28 11:01:50	Hamilton	51
2020-03-28 11:01:50	Hastings-Prince-Edward	6
2020-03-28 11:01:50	HKPR	9
2020-03-28 11:01:50	Huron-Perth	NA
2020-03-28 11:01:50	KFLA	17
2020-03-28 11:01:50	Lambton	8
2020-03-28 11:01:50	Leeds	NA
2020-03-28 11:01:50	Middlesex-London	23
2020-03-28 11:01:50	Niagara	12
2020-03-28 11:01:50	North-Bay-Parry-Sound	NA
2020-03-28 11:01:50	Northwestern	NA
2020-03-28 11:01:50	Ottawa	75
2020-03-28 11:01:50	Peel	154
2020-03-28 11:01:50	Peterborough	13
2020-03-28 11:01:50	Porcupine	6
2020-03-28 11:01:50	Renfrew	NA
2020-03-28 11:01:50	Simcoe-Muskoka	33
2020-03-28 11:01:50	SouthWestern	5
2020-03-28 11:01:50	Sudbury
2020-03-28 11:01:50	Thunderbay	NA
2020-03-28 11:01:50	Timiskaming	NA
2020-03-28 11:01:50	Toronto	457
2020-03-28 11:01:50	Waterloo	69
2020-03-28 11:01:50	Wellington-Dufferin-Guelph	7
2020-03-28 11:01:50	Windsor-Essex	15
2020-03-28 11:01:50	York
2020-03-28 11:04:13	Algoma	NA
2020-03-28 11:04:13	Brant	7
2020-03-28 11:04:13	Chatham-Kent	4
2020-03-28 11:04:13	Durham	67
2020-03-28 11:04:13	Eastern-Ontario	4
2020-03-28 11:04:13	Grey-Bruce	NA
2020-03-28 11:04:13	Haldimand-Norfolk	NA
2020-03-28 11:04:13	Halton	19
2020-03-28 11:04:13	Hamilton	51
2020-03-28 11:04:13	Hastings-Prince-Edward	6
2020-03-28 11:04:13	HKPR	9
2020-03-28 11:04:13	Huron-Perth	NA
2020-03-28 11:04:13	KFLA	17
2020-03-28 11:04:13	Lambton	8
2020-03-28 11:04:13	Leeds	NA
2020-03-28 11:04:13	Middlesex-London	23
2020-03-28 11:04:13	Niagara	12
2020-03-28 11:04:13	North-Bay-Parry-Sound	NA
2020-03-28 11:04:13	Northwestern	NA
2020-03-28 11:04:13	Ottawa	75
2020-03-28 11:04:13	Peel	154
2020-03-28 11:04:13	Peterborough	13
2020-03-28 11:04:13	Porcupine	10
2020-03-28 11:04:13	Renfrew	NA
2020-03-28 11:04:13	Simcoe-Muskoka	33
2020-03-28 11:04:13	SouthWestern	5
2020-03-28 11:04:13	Sudbury
2020-03-28 11:04:13	Thunderbay	NA
2020-03-28 11:04:13	Timiskaming	NA
2020-03-28 11:04:13	Toronto	457
2020-03-28 11:04:13	Waterloo	69
2020-03-28 11:04:13	Wellington-Dufferin-Guelph	7
2020-03-28 11:04:13	Windsor-Essex	15
2020-03-28 11:04:13	York
2020-03-27 16:53:42	Algoma	NA
2020-03-27 16:53:42	Brant	4
2020-03-27 16:53:42	Chatham-Kent	4
2020-03-27 16:53:42	Durham	67
2020-03-27 16:53:42	Eastern-Ontario	4
2020-03-27 16:53:42	Grey-Bruce	NA
2020-03-27 16:53:42	Haldimand-Norfolk	NA
2020-03-27 16:53:42	Halton	18
2020-03-27 16:53:42	Hastings-Prince-Edward	6
2020-03-27 16:53:42	HKPR	9
2020-03-27 16:53:42	Huron-Perth	NA
2020-03-27 16:53:42	KFLA	16
2020-03-27 16:53:42	Lambton	8
2020-03-27 16:53:42	Leeds	NA
2020-03-27 16:53:42	Middlesex-London	23
2020-03-27 16:53:42	Niagara	12
2020-03-27 16:53:42	North-Bay-Parry-Sound	NA
2020-03-27 16:53:42	Northwestern	NA
2020-03-27 16:53:42	Ottawa	51
2020-03-27 16:53:42	Peel	116
2020-03-27 16:53:42	Peterborough	13
2020-03-27 16:53:42	Porcupine	6
2020-03-27 16:53:42	Renfrew	NA
2020-03-27 16:53:42	Simcoe-Muskoka	33
2020-03-27 16:53:42	SouthWestern	5
2020-03-27 16:53:42	Sudbury	6
2020-03-27 16:53:42	Thunderbay	NA
2020-03-27 16:53:42	Timiskaming	NA
2020-03-27 16:53:42	Toronto	457
2020-03-27 16:53:42	Waterloo	69
2020-03-27 16:53:42	Wellington-Dufferin-Guelph	7
2020-03-27 16:53:42	Windsor-Essex	9
2020-03-27 16:53:42	York	137
2020-03-25 21:15:00	Algoma	NA
2020-03-25 21:15:00	Brant	3
2020-03-25 21:15:00	Chatham-Kent	2
2020-03-25 21:15:00	Durham	37
2020-03-25 21:15:00	Eastern-Ontario	4
2020-03-25 21:15:00	Grey-Bruce	NA
