pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
35,Ontario,Ontario,31-01-2020,3,0,0,3,,3,3.000
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,1,1.000
1,Canada,Canada,31-01-2020,4,0,0,4,,4,4.000
35,Ontario,Ontario,08-02-2020,3,0,0,3,,0,0.000
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,3,3.000
1,Canada,Canada,08-02-2020,7,0,0,7,,3,0.750
35,Ontario,Ontario,16-02-2020,3,0,0,3,,0,0.000
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,1,0.250
1,Canada,Canada,16-02-2020,8,0,0,8,,1,0.143
35,Ontario,Ontario,21-02-2020,3,0,0,3,,0,0.000
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,1,0.200
1,Canada,Canada,21-02-2020,9,0,0,9,,1,0.125
35,Ontario,Ontario,24-02-2020,4,0,0,4,,1,0.333
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,0,0.000
1,Canada,Canada,24-02-2020,10,0,0,10,,1,0.111
35,Ontario,Ontario,25-02-2020,4,0,0,4,,0,0.000
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,1,0.167
1,Canada,Canada,25-02-2020,11,0,0,11,,1,0.100
35,Ontario,Ontario,26-02-2020,5,0,0,5,,1,0.250
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,0,0.000
1,Canada,Canada,26-02-2020,12,0,0,12,,1,0.091
35,Ontario,Ontario,27-02-2020,6,0,0,6,,1,0.200
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,0,0.000
1,Canada,Canada,27-02-2020,13,0,0,13,,1,0.083
35,Ontario,Ontario,29-02-2020,8,0,0,8,,2,0.333
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,0,0.000
1,Canada,Canada,29-02-2020,15,0,0,15,,2,0.154
35,Ontario,Ontario,01-03-2020,15,0,0,15,,7,0.875
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,1,0.143
24,Quebec,Québec,01-03-2020,1,0,0,1,,1,1.000
1,Canada,Canada,01-03-2020,24,0,0,24,,9,0.600
35,Ontario,Ontario,03-03-2020,20,0,0,20,,5,0.333
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0,12,,4,0.500
24,Quebec,Québec,03-03-2020,1,0,0,1,,0,0.000
1,Canada,Canada,03-03-2020,33,0,0,33,,9,0.375
35,Ontario,Ontario,05-03-2020,22,0,0,22,,2,0.100
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0,21,,9,0.750
24,Quebec,Québec,05-03-2020,2,0,0,2,,1,1.000
1,Canada,Canada,05-03-2020,45,0,0,45,,12,0.364
35,Ontario,Ontario,06-03-2020,28,0,0,28,,6,0.273
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,0,0.000
24,Quebec,Québec,06-03-2020,2,0,0,2,,0,0.000
1,Canada,Canada,06-03-2020,51,0,0,51,,6,0.133
35,Ontario,Ontario,07-03-2020,28,0,0,28,,0,0.000
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,6,0.286
24,Quebec,Québec,07-03-2020,2,0,0,2,,0,0.000
1,Canada,Canada,07-03-2020,57,0,0,57,,6,0.118
35,Ontario,Ontario,08-03-2020,31,0,0,31,,3,0.107
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,0,27,,0,0.000
24,Quebec,Québec,08-03-2020,3,0,0,3,,1,0.500
48,Alberta,Alberta,08-03-2020,1,0,0,1,,1,1.000
1,Canada,Canada,08-03-2020,62,0,0,62,,5,0.088
35,Ontario,Ontario,09-03-2020,34,0,0,34,,3,0.097
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,0,32,,5,0.185
24,Quebec,Québec,09-03-2020,4,0,0,4,,1,0.333
48,Alberta,Alberta,09-03-2020,7,0,0,7,,6,6.000
1,Canada,Canada,09-03-2020,77,0,0,77,,15,0.242
35,Ontario,Ontario,11-03-2020,42,0,0,42,3394,8,0.235
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,0,39,4373,7,0.219
24,Quebec,Québec,11-03-2020,7,0,0,7,556,3,0.750
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,7,1.000
99,Repatriated Travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,0,1,1.000
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,0,0.000
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,0,0.000
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,0,0.000
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,0,0.000
60,Yukon,Yukon,11-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,0,0,0,0.000
62,Nunavut,Nunavut,11-03-2020,0,0,0,0,0,0,0.000
1,Canada,Canada,11-03-2020,103,0,0,103,11023,26,0.338
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,0,46,5195,7,0.179
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,5,0.357
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,1,0.000
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,1,0.000
35,Ontario,Ontario,12-03-2020,59,0,0,59,4185,17,0.405
24,Quebec,Québec,12-03-2020,13,0,0,13,740,6,0.857
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0,1,44,1,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,0,0.000
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0,0,182,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0,0,6,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0,0,34,0,0.000
62,Nunavut,Nunavut,12-03-2020,0,0,0,0,1,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,12-03-2020,1,0,0,1,0,0,0.000
60,Yukon,Yukon,12-03-2020,0,0,0,0,0,0,0.000
1,Canada,Canada,12-03-2020,138,3,0,141,15185,38,0.369
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,0,53,5195,7,0.152
48,Alberta,Alberta,13-03-2020,23,0,0,23,4109,4,0.211
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0,1,285,0,0.000
46,Manitoba,Manitoba,13-03-2020,1,2,0,3,352,2,2.000
35,Ontario,Ontario,13-03-2020,79,0,0,79,4185,20,0.339
24,Quebec,Québec,13-03-2020,17,0,0,17,740,4,0.308
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0,0,6,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0,0,52,0,0.000
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0,1,44,0,0.000
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0,0,182,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,13-03-2020,2,0,0,2,0,1,1.000
60,Yukon,Yukon,13-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0,0,34,0,0.000
62,Nunavut,Nunavut,13-03-2020,0,0,0,0,1,0,0.000
1,Canada,Canada,13-03-2020,176,3,0,179,15185,38,0.270
