Reported Date,Confirmed Negative,Presumptive Negative,Under Investigation,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total patients approved for testing as of Reporting Date,Total Cases,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19
2020-01-26,,,9,1,,,,,,,,
2020-01-27,,,19,2,,,,,,,,
2020-01-28,,,11,1,1,,,,1,,,
2020-01-30,,,27,0,2,,,,2,,,
2020-01-31,,,17,0,2,,,,2,,,
2020-02-03,,,29,0,3,,,,3,,,
2020-02-04,90,12,34,0,3,,,139,3,,,
2020-02-05,96,8,43,0,3,,,150,3,,,
2020-02-06,104,0,62,0,3,,,169,3,,,
2020-02-08,130,25,39,0,3,,,197,3,,,
2020-02-10,167,81,8,0,3,,,259,3,,,
2020-02-11,184,79,19,0,3,,,285,3,,,
2020-02-12,257,44,9,0,2,1,,313,3,,,
2020-02-13,306,16,15,0,2,1,,340,3,,,
2020-02-14,353,0,8,0,2,1,,364,3,,,
2020-02-17,399,0,0,0,2,1,,402,3,,,
2020-02-18,418,0,0,0,2,1,,421,3,,,
2020-02-19,436,0,17,0,2,1,,456,3,,,
2020-02-20,462,,14,0,1,2,,479,3,,,
2020-02-21,483,,12,0,0,3,,498,3,,,
2020-02-24,540,,9,0,1,3,,553,4,,,
2020-02-25,568,,21,0,1,3,,593,4,,,
2020-02-26,610,,14,1,1,3,,629,4,,,
2020-02-27,672,,21,1,2,3,,699,5,,,
2020-02-28,739,,22,1,3,3,,768,6,,,
2020-03-02,975,,12,,15,3,,1005,18,,,
2020-03-03,1061,,45,,17,3,,1126,20,,,
2020-03-04,1216,,102,,17,3,,1338,20,,,
2020-03-05,1466,,78,,18,4,,1566,22,,,
2020-03-06,1665,,72,,22,4,,1763,26,,,
2020-03-07,1918,,36,,24,4,,1982,28,,,
2020-03-08,2094,,55,,25,4,,2178,29,,,
2020-03-09,2347,,22,,31,4,,2404,35,,,
2020-03-10,2599,,112,,31,5,,2747,36,,,
2020-03-11,2888,,465,,37,5,,3395,42,,,
2020-03-12,3590,,536,,54,5,,4185,59,,,
2020-03-13,4470,,580,,74,5,,5129,79,,,
2020-03-14,5606,,939,,98,5,,6648,103,,,
2020-03-15,7004,,1316,,140,5,,8465,145,,,
2020-03-16,8464,,1537,,172,5,,10178,177,,,
2020-03-17,9415,,1567,,183,5,1,11171,189,,,
2020-03-18,10305,,3378,,208,5,1,13897,214,,,
2020-03-19,12421,,3971,,251,5,2,16650,258,,,
2020-03-20,13718,,5475,,311,5,2,19511,318,,,
2020-03-21,15768,,7239,,369,6,2,23384,377,,,
2020-03-22,17634,,8361,,412,8,5,26420,425,,,
2020-03-23,19586,,8417,,489,8,6,28506,503,,,
2020-03-24,21795,,10074,,572,8,8,32457,588,,,
2020-03-25,24458,,10489,,667,8,13,35635,688,,,
2020-03-26,26727,,10965,,835,8,15,38550,858,,,
2020-03-27,29967,,10074,,967,8,18,41032,993,,,
2020-03-28,33240,,8690,,1117,8,19,43072,1144,,,
2020-03-29,40630,,7203,,1324,8,23,49186,1355,,,
2020-03-30,,,5651,,1252,431,23,48461,1706,,,
2020-03-31,,,4280,,1399,534,33,51629,1966,,,
2020-04-01,,,3135,,1681,674,37,57874,2392,,,
2020-04-02,,,2052,,1909,831,53,62733,2793,405,167,112
2020-04-03,,,1245,,2165,1023,67,66753,3255,462,194,140
